id,store_id,product_category,date,baseline_expected,actual_units,revenue,returns_units,stock_available,event_id,created_at
23,8,Women's Wear,2026-07-24,1321.8,1373.0,1847781.13,87.4,1678.0,,2026-09-05 07:12:52.793976
24,2,Footwear,2026-08-29,428.5,413.4,611920.8,31.6,538.3,,2026-09-05 07:12:52.793976
25,2,Traditional Wear,2026-07-25,951.5,1166.4,1573699.65,57.7,1440.0,14.0,2026-09-05 07:12:52.793976
26,3,Men's Wear,2026-08-08,846.9,903.9,1125564.24,72.7,1226.4,,2026-09-05 07:12:52.793976
27,1,Footwear,2026-08-29,708.2,771.7,1319003.1,37.3,961.3,,2026-09-05 07:12:52.793976
28,14,Kids Wear,2026-08-22,663.1,651.4,782522.41,38.8,897.6,,2026-09-05 07:12:52.793976
29,8,Men's Wear,2026-07-16,1117.4,1174.3,1915336.1,56.1,1396.3,,2026-09-05 07:12:52.793976
30,10,Footwear,2026-09-01,417.0,416.4,513962.17,28.8,520.9,,2026-09-05 07:12:52.793976
31,9,Women's Wear,2026-07-12,976.1,984.8,1221916.71,81.8,1202.6,,2026-09-05 07:12:52.793976
32,10,Women's Wear,2026-07-10,816.6,857.0,1366421.28,58.5,1024.0,,2026-09-05 07:12:52.793976
33,4,Footwear,2026-08-19,419.3,399.4,551171.3,22.3,529.4,,2026-09-05 07:12:52.793976
34,1,Kids Wear,2026-08-31,671.8,696.2,877204.17,46.6,871.5,,2026-09-05 07:12:52.793976
35,15,Men's Wear,2026-08-27,710.9,699.5,1189322.76,52.6,897.8,,2026-09-05 07:12:52.793976
36,11,Casual Wear,2026-07-15,902.3,917.8,1266221.89,67.2,1268.1,,2026-09-05 07:12:52.793976
37,5,Traditional Wear,2026-08-27,1600.4,1629.6,2161465.25,93.1,2128.7,,2026-09-05 07:12:52.793976
38,5,Casual Wear,2026-07-12,1308.2,1343.5,2294244.2,59.9,1648.6,,2026-09-05 07:12:52.793976
39,1,Traditional Wear,2026-08-18,1275.1,1305.1,1912103.72,98.3,1655.2,,2026-09-05 07:12:52.793976
40,2,Footwear,2026-08-28,501.8,500.3,850888.73,34.6,572.6,,2026-09-05 07:12:52.793976
41,1,Men's Wear,2026-08-27,979.1,990.1,1400680.15,73.4,1287.2,,2026-09-05 07:12:52.793976
42,13,Casual Wear,2026-08-13,793.0,791.4,1244394.91,37.8,1091.3,,2026-09-05 07:12:52.793976
43,3,Accessories,2026-07-11,439.7,468.1,655017.61,40.5,627.6,,2026-09-05 07:12:52.793976
44,12,Accessories,2026-07-11,325.5,328.8,532908.16,19.4,365.5,,2026-09-05 07:12:52.793976
45,4,Women's Wear,2026-08-05,828.8,808.7,1080873.88,33.3,936.4,,2026-09-05 07:12:52.793976
46,5,Accessories,2026-08-14,390.6,416.8,587974.62,27.3,543.4,,2026-09-05 07:12:52.793976
47,9,Men's Wear,2026-07-13,1140.9,1169.0,2077921.57,62.3,1323.9,,2026-09-05 07:12:52.793976
48,6,Footwear,2026-08-08,499.2,496.9,889720.08,22.7,680.7,,2026-09-05 07:12:52.793976
49,5,Traditional Wear,2026-08-23,1519.0,1694.0,2786918.06,124.6,2048.5,,2026-09-05 07:12:52.793976
50,11,Men's Wear,2026-08-31,906.9,893.1,1138501.72,75.9,1118.3,,2026-09-05 07:12:52.793976
51,7,Men's Wear,2026-07-24,910.8,937.3,1653601.72,69.2,1284.9,,2026-09-05 07:12:52.793976
52,10,Men's Wear,2026-07-27,678.1,698.4,965415.76,35.3,932.9,,2026-09-05 07:12:52.793976
53,11,Men's Wear,2026-07-28,859.5,868.3,1511457.19,69.3,999.3,,2026-09-05 07:12:52.793976
54,5,Casual Wear,2026-08-30,1373.9,1434.5,1801778.36,125.7,1679.0,,2026-09-05 07:12:52.793976
55,4,Accessories,2026-08-16,256.5,257.3,320003.22,15.6,331.6,,2026-09-05 07:12:52.793976
56,12,Footwear,2026-08-23,461.9,467.5,602393.76,34.8,639.4,,2026-09-05 07:12:52.793976
57,13,Traditional Wear,2026-07-11,844.0,861.4,1273777.96,58.5,1184.6,,2026-09-05 07:12:52.793976
58,8,Women's Wear,2026-08-28,1425.6,1342.6,2406926.64,93.7,1859.5,,2026-09-05 07:12:52.793976
59,8,Casual Wear,2026-07-09,1510.1,1392.2,2043120.56,66.8,1891.2,,2026-09-05 07:12:52.793976
60,5,Accessories,2026-08-07,430.6,545.7,863623.11,42.7,685.6,15.0,2026-09-05 07:12:52.793976
61,4,Men's Wear,2026-07-26,650.8,653.1,1133661.49,28.8,748.0,,2026-09-05 07:12:52.793976
62,12,Women's Wear,2026-08-11,993.5,1143.7,1744790.62,69.5,1329.0,,2026-09-05 07:12:52.793976
63,7,Accessories,2026-08-09,438.9,457.5,653414.59,18.4,551.5,,2026-09-05 07:12:52.793976
64,7,Accessories,2026-07-18,498.9,472.3,719280.94,36.2,632.9,,2026-09-05 07:12:52.793976
65,4,Kids Wear,2026-07-09,361.1,374.0,601199.44,22.5,429.9,,2026-09-05 07:12:52.793976
66,15,Women's Wear,2026-08-06,819.2,824.6,1438232.12,57.4,1071.1,,2026-09-05 07:12:52.793976
67,11,Kids Wear,2026-08-30,452.6,469.4,622892.0,26.4,623.5,,2026-09-05 07:12:52.793976
68,5,Accessories,2026-08-11,589.0,727.3,1056722.46,59.5,902.6,15.0,2026-09-05 07:12:52.793976
69,9,Traditional Wear,2026-07-19,1503.3,1441.8,2293979.92,112.0,1996.7,,2026-09-05 07:12:52.793976
70,14,Traditional Wear,2026-08-23,1233.0,1163.4,1726644.56,53.2,1610.5,,2026-09-05 07:12:52.793976
71,12,Men's Wear,2026-08-06,897.3,850.7,1079299.87,68.9,1182.0,,2026-09-05 07:12:52.793976
72,10,Traditional Wear,2026-08-29,1042.7,999.5,1743943.28,58.7,1381.7,,2026-09-05 07:12:52.793976
73,2,Casual Wear,2026-08-23,953.4,1006.0,1720437.0,70.4,1143.1,,2026-09-05 07:12:52.793976
74,13,Traditional Wear,2026-07-30,738.4,768.8,1093496.93,50.2,924.4,,2026-09-05 07:12:52.793976
75,7,Accessories,2026-07-12,420.6,397.6,586795.42,18.9,458.4,,2026-09-05 07:12:52.793976
76,11,Men's Wear,2026-08-02,904.8,962.9,1603021.35,60.9,1297.7,,2026-09-05 07:12:52.793976
77,5,Men's Wear,2026-07-29,1219.4,1305.6,1757752.86,82.6,1675.2,,2026-09-05 07:12:52.793976
78,6,Traditional Wear,2026-08-11,1011.5,1054.8,1574320.6,60.9,1242.0,,2026-09-05 07:12:52.793976
79,15,Casual Wear,2026-08-18,801.9,879.8,1100953.37,66.9,1096.7,,2026-09-05 07:12:52.793976
80,4,Footwear,2026-07-18,386.3,388.7,570963.27,15.9,461.9,,2026-09-05 07:12:52.793976
81,12,Women's Wear,2026-08-10,880.1,837.4,1218670.14,64.7,1004.2,,2026-09-05 07:12:52.793976
82,8,Men's Wear,2026-07-22,1071.4,1080.2,1763718.8,60.3,1429.0,,2026-09-05 07:12:52.793976
83,12,Women's Wear,2026-07-18,847.6,840.1,1391310.39,58.7,1171.2,,2026-09-05 07:12:52.793976
84,4,Men's Wear,2026-07-13,602.1,633.8,765940.34,42.3,749.3,,2026-09-05 07:12:52.793976
85,9,Men's Wear,2026-09-01,1058.3,1091.6,1881516.52,75.0,1354.5,,2026-09-05 07:12:52.793976
86,6,Women's Wear,2026-08-07,1004.1,969.8,1665179.36,44.3,1085.8,,2026-09-05 07:12:52.793976
87,2,Casual Wear,2026-08-04,937.6,973.9,1749466.12,44.7,1294.6,,2026-09-05 07:12:52.793976
88,10,Accessories,2026-07-28,331.3,327.0,467030.17,27.9,388.9,,2026-09-05 07:12:52.793976
89,7,Men's Wear,2026-07-29,964.8,1215.4,1914630.58,64.7,1366.5,,2026-09-05 07:12:52.793976
90,3,Casual Wear,2026-08-20,909.7,1056.9,1644839.43,57.7,1236.0,,2026-09-05 07:12:52.793976
91,5,Footwear,2026-07-21,718.4,774.4,1203319.83,62.1,897.8,,2026-09-05 07:12:52.793976
92,9,Women's Wear,2026-08-28,1177.9,1261.0,2138629.14,54.9,1449.9,,2026-09-05 07:12:52.793976
93,10,Footwear,2026-08-16,457.8,438.7,606482.88,26.4,518.4,,2026-09-05 07:12:52.793976
94,8,Kids Wear,2026-08-01,579.6,657.0,915459.17,34.5,740.7,,2026-09-05 07:12:52.793976
95,14,Accessories,2026-07-23,420.3,445.4,606504.13,18.7,591.0,,2026-09-05 07:12:52.793976
96,9,Footwear,2026-08-05,569.0,568.9,1022977.37,35.2,764.8,,2026-09-05 07:12:52.793976
97,8,Men's Wear,2026-08-30,1111.6,1132.4,1638568.14,73.3,1470.7,,2026-09-05 07:12:52.793976
98,14,Accessories,2026-08-10,415.6,421.6,585480.26,23.7,586.5,,2026-09-05 07:12:52.793976
99,14,Casual Wear,2026-08-10,1195.3,1392.6,2104307.22,99.1,1740.1,,2026-09-05 07:12:52.793976
100,13,Traditional Wear,2026-08-07,703.2,705.4,1239108.22,43.7,923.7,,2026-09-05 07:12:52.793976
101,1,Footwear,2026-08-28,625.2,642.4,983739.78,28.7,897.9,,2026-09-05 07:12:52.793976
102,8,Traditional Wear,2026-08-28,1574.3,1641.1,2887666.16,89.6,2152.5,,2026-09-05 07:12:52.793976
103,14,Kids Wear,2026-08-09,682.6,657.1,1151975.74,43.0,896.2,,2026-09-05 07:12:52.793976
104,2,Men's Wear,2026-07-11,819.6,809.4,1136337.01,64.3,955.2,,2026-09-05 07:12:52.793976
105,5,Footwear,2026-09-04,592.2,619.7,798890.75,41.5,745.8,,2026-09-05 07:12:52.793976
106,13,Casual Wear,2026-07-31,689.5,689.3,1186809.86,61.4,807.6,,2026-09-05 07:12:52.793976
107,4,Accessories,2026-08-11,335.8,435.7,707200.67,35.1,529.7,15.0,2026-09-05 07:12:52.793976
108,13,Accessories,2026-07-24,284.0,289.1,514278.45,13.4,401.7,,2026-09-05 07:12:52.793976
109,14,Traditional Wear,2026-08-14,1327.8,1269.9,2074338.85,76.8,1646.3,,2026-09-05 07:12:52.793976
110,2,Kids Wear,2026-08-26,523.2,519.4,817512.56,31.1,583.9,,2026-09-05 07:12:52.793976
111,14,Footwear,2026-08-14,598.6,583.1,965404.32,48.8,647.7,,2026-09-05 07:12:52.793976
112,4,Footwear,2026-08-31,414.9,439.0,586719.89,19.5,611.7,,2026-09-05 07:12:52.793976
113,11,Footwear,2026-07-18,577.1,559.9,687330.21,44.7,665.2,,2026-09-05 07:12:52.793976
114,7,Women's Wear,2026-08-12,989.4,909.1,1462814.83,44.5,1047.8,,2026-09-05 07:12:52.793976
115,14,Kids Wear,2026-07-27,592.4,603.6,891330.05,31.8,710.2,,2026-09-05 07:12:52.793976
116,15,Accessories,2026-09-04,277.1,273.9,418507.94,12.0,379.0,,2026-09-05 07:12:52.793976
117,5,Footwear,2026-07-29,741.5,717.3,1290870.4,59.3,812.0,,2026-09-05 07:12:52.793976
118,10,Men's Wear,2026-08-11,718.9,725.4,998976.23,64.5,941.2,,2026-09-05 07:12:52.793976
119,1,Casual Wear,2026-08-18,1368.9,1487.6,2450230.86,121.5,2039.3,,2026-09-05 07:12:52.793976
120,13,Women's Wear,2026-07-17,695.6,685.5,1084440.93,48.7,893.4,,2026-09-05 07:12:52.793976
121,13,Footwear,2026-07-20,369.2,386.2,472575.0,30.7,428.7,,2026-09-05 07:12:52.793976
122,12,Women's Wear,2026-08-12,818.9,845.3,1393467.35,41.2,963.3,,2026-09-05 07:12:52.793976
123,15,Men's Wear,2026-08-01,635.0,644.5,1092307.55,41.3,864.9,,2026-09-05 07:12:52.793976
124,14,Men's Wear,2026-07-19,1001.3,974.3,1213178.5,75.7,1137.7,,2026-09-05 07:12:52.793976
125,12,Footwear,2026-07-23,563.3,570.5,955250.44,23.2,719.4,,2026-09-05 07:12:52.793976
126,6,Footwear,2026-08-06,493.2,475.5,679306.57,34.2,576.0,,2026-09-05 07:12:52.793976
127,4,Kids Wear,2026-07-23,325.4,298.6,397980.15,12.9,402.3,,2026-09-05 07:12:52.793976
128,5,Footwear,2026-07-22,616.9,596.3,1054113.45,32.9,744.1,,2026-09-05 07:12:52.793976
129,4,Casual Wear,2026-08-29,718.6,695.9,1230062.02,42.4,920.5,,2026-09-05 07:12:52.793976
130,15,Kids Wear,2026-08-26,416.9,392.8,616456.91,34.2,465.0,,2026-09-05 07:12:52.793976
131,6,Women's Wear,2026-07-22,864.9,874.6,1409337.58,58.8,1218.6,,2026-09-05 07:12:52.793976
132,1,Kids Wear,2026-08-13,574.0,565.7,1000953.24,45.9,637.8,,2026-09-05 07:12:52.793976
133,11,Footwear,2026-08-22,527.5,616.6,948791.27,26.8,819.8,,2026-09-05 07:12:52.793976
134,10,Women's Wear,2026-08-22,873.2,891.3,1483676.83,70.8,1139.8,,2026-09-05 07:12:52.793976
135,14,Women's Wear,2026-08-18,1183.6,1190.5,2047503.73,55.5,1437.5,,2026-09-05 07:12:52.793976
136,4,Casual Wear,2026-07-16,761.7,747.7,920747.25,57.6,940.5,,2026-09-05 07:12:52.793976
137,2,Kids Wear,2026-07-19,454.3,437.7,583423.4,31.0,577.0,,2026-09-05 07:12:52.793976
138,11,Casual Wear,2026-07-11,990.5,966.4,1177742.39,86.9,1308.7,,2026-09-05 07:12:52.793976
139,11,Traditional Wear,2026-08-08,1136.5,1153.2,1804733.15,49.9,1363.7,,2026-09-05 07:12:52.793976
140,10,Casual Wear,2026-07-26,897.1,903.7,1408357.81,49.5,1131.1,,2026-09-05 07:12:52.793976
141,2,Accessories,2026-08-08,367.1,352.4,575294.39,17.9,435.4,,2026-09-05 07:12:52.793976
142,7,Men's Wear,2026-08-21,1048.9,990.6,1622372.49,55.1,1182.5,,2026-09-05 07:12:52.793976
143,6,Women's Wear,2026-08-19,929.8,943.0,1375955.73,72.8,1142.7,,2026-09-05 07:12:52.793976
144,9,Traditional Wear,2026-08-27,1333.8,1346.0,1881422.09,62.1,1623.4,,2026-09-05 07:12:52.793976
145,13,Kids Wear,2026-07-24,427.6,450.3,635367.77,31.0,524.1,,2026-09-05 07:12:52.793976
146,8,Women's Wear,2026-07-24,1443.7,1428.3,2190668.39,65.3,1690.5,,2026-09-05 07:12:52.793976
147,13,Kids Wear,2026-08-21,423.9,433.6,687524.61,17.9,597.8,,2026-09-05 07:12:52.793976
148,12,Men's Wear,2026-07-13,688.2,653.7,1083472.26,56.3,787.9,,2026-09-05 07:12:52.793976
149,14,Women's Wear,2026-08-24,1052.0,1089.4,1327318.71,84.2,1268.6,,2026-09-05 07:12:52.793976
150,8,Men's Wear,2026-08-09,1012.3,1056.9,1473984.17,92.0,1351.6,,2026-09-05 07:12:52.793976
151,1,Women's Wear,2026-07-10,1047.4,1032.0,1648272.44,66.3,1272.1,,2026-09-05 07:12:52.793976
152,4,Accessories,2026-08-18,299.6,291.1,368688.01,21.5,372.0,,2026-09-05 07:12:52.793976
153,11,Men's Wear,2026-08-02,733.6,730.6,1008850.19,36.9,833.7,,2026-09-05 07:12:52.793976
154,5,Men's Wear,2026-08-19,945.0,942.3,1374243.73,43.8,1187.1,,2026-09-05 07:12:52.793976
155,9,Casual Wear,2026-08-21,1309.7,1403.4,1719700.2,57.5,1931.6,,2026-09-05 07:12:52.793976
156,6,Casual Wear,2026-07-11,914.5,946.3,1499019.64,51.6,1155.9,,2026-09-05 07:12:52.793976
157,3,Accessories,2026-08-15,464.0,457.5,668877.38,20.7,563.0,,2026-09-05 07:12:52.793976
158,9,Traditional Wear,2026-08-10,1255.6,1211.4,1700451.83,68.6,1393.6,,2026-09-05 07:12:52.793976
159,11,Traditional Wear,2026-08-03,1151.0,1158.0,2055373.58,83.7,1325.1,,2026-09-05 07:12:52.793976
160,3,Men's Wear,2026-08-29,768.4,740.2,1225866.82,53.9,853.6,,2026-09-05 07:12:52.793976
161,11,Kids Wear,2026-07-17,531.3,503.1,869975.06,36.3,702.3,,2026-09-05 07:12:52.793976
162,14,Footwear,2026-08-15,496.8,482.4,714604.52,34.5,645.9,,2026-09-05 07:12:52.793976
163,1,Men's Wear,2026-07-29,1029.7,1016.2,1726542.07,44.5,1381.3,,2026-09-05 07:12:52.793976
164,2,Casual Wear,2026-07-12,928.5,932.3,1443384.66,81.8,1232.2,,2026-09-05 07:12:52.793976
165,8,Accessories,2026-09-02,531.6,511.8,908257.38,32.0,687.5,,2026-09-05 07:12:52.793976
166,6,Footwear,2026-07-13,386.8,375.6,459541.07,28.3,524.8,,2026-09-05 07:12:52.793976
167,9,Casual Wear,2026-08-02,1079.2,1070.1,1501372.01,74.8,1430.5,,2026-09-05 07:12:52.793976
168,6,Traditional Wear,2026-07-25,958.8,997.3,1428072.29,52.5,1351.8,,2026-09-05 07:12:52.793976
169,14,Women's Wear,2026-07-28,979.2,1002.1,1784357.2,75.1,1220.1,,2026-09-05 07:12:52.793976
170,12,Traditional Wear,2026-07-28,1011.9,1041.1,1743839.56,84.0,1354.5,,2026-09-05 07:12:52.793976
171,12,Footwear,2026-07-13,551.8,539.2,652937.94,29.9,747.0,,2026-09-05 07:12:52.793976
172,13,Kids Wear,2026-08-14,317.2,303.9,392932.7,16.7,406.1,,2026-09-05 07:12:52.793976
173,13,Casual Wear,2026-08-03,783.0,810.6,1345421.37,37.7,983.3,,2026-09-05 07:12:52.793976
174,3,Accessories,2026-08-25,418.8,422.4,735649.13,32.1,470.2,,2026-09-05 07:12:52.793976
175,11,Footwear,2026-08-12,462.8,456.1,670173.63,30.4,544.1,,2026-09-05 07:12:52.793976
176,13,Kids Wear,2026-07-15,433.5,461.6,741783.86,31.6,568.8,,2026-09-05 07:12:52.793976
177,5,Accessories,2026-07-17,460.9,494.1,830461.31,23.2,580.6,,2026-09-05 07:12:52.793976
178,8,Accessories,2026-07-25,484.0,476.5,775189.54,31.4,542.0,,2026-09-05 07:12:52.793976
179,13,Women's Wear,2026-08-30,627.4,643.6,1137786.95,32.9,795.1,,2026-09-05 07:12:52.793976
180,15,Traditional Wear,2026-08-13,801.2,828.7,1180381.13,49.1,931.9,,2026-09-05 07:12:52.793976
181,1,Men's Wear,2026-08-21,1179.7,1130.6,1450062.06,61.4,1525.1,,2026-09-05 07:12:52.793976
182,14,Women's Wear,2026-07-22,1112.1,1048.4,1645158.67,89.4,1159.2,,2026-09-05 07:12:52.793976
183,14,Women's Wear,2026-08-22,1046.5,1026.5,1409241.76,56.5,1143.9,,2026-09-05 07:12:52.793976
184,11,Accessories,2026-08-09,412.1,482.8,724150.53,32.3,622.6,,2026-09-05 07:12:52.793976
185,4,Footwear,2026-07-30,340.6,333.0,482830.21,24.4,374.9,,2026-09-05 07:12:52.793976
186,2,Casual Wear,2026-08-12,915.6,897.7,1350655.68,36.8,1222.7,,2026-09-05 07:12:52.793976
187,11,Kids Wear,2026-09-02,655.4,701.4,986786.68,53.8,903.7,,2026-09-05 07:12:52.793976
188,10,Footwear,2026-07-17,448.1,451.3,636955.54,25.7,583.5,,2026-09-05 07:12:52.793976
189,13,Footwear,2026-07-13,342.7,325.8,403294.89,25.7,403.1,,2026-09-05 07:12:52.793976
190,4,Traditional Wear,2026-08-17,950.9,899.7,1250004.94,49.9,1097.2,,2026-09-05 07:12:52.793976
191,9,Kids Wear,2026-07-14,547.6,555.0,926020.24,46.2,665.8,,2026-09-05 07:12:52.793976
192,13,Men's Wear,2026-08-28,579.2,599.5,877573.27,52.7,720.4,,2026-09-05 07:12:52.793976
193,8,Footwear,2026-08-24,672.3,624.3,1021510.12,27.4,799.6,,2026-09-05 07:12:52.793976
194,3,Casual Wear,2026-07-14,974.4,965.9,1349122.7,52.9,1191.7,,2026-09-05 07:12:52.793976
195,7,Women's Wear,2026-07-21,1134.2,1222.6,1725743.41,109.9,1445.6,,2026-09-05 07:12:52.793976
196,1,Traditional Wear,2026-07-16,1418.6,1448.7,2184424.63,112.3,1663.1,,2026-09-05 07:12:52.793976
197,3,Accessories,2026-09-03,403.7,409.6,682847.94,23.9,497.6,,2026-09-05 07:12:52.793976
198,1,Casual Wear,2026-07-30,1116.8,1120.4,1593857.18,69.7,1258.3,,2026-09-05 07:12:52.793976
199,9,Men's Wear,2026-08-27,956.0,956.0,1569183.1,62.1,1162.6,,2026-09-05 07:12:52.793976
200,2,Men's Wear,2026-07-31,820.2,836.3,1111227.15,59.0,1094.0,,2026-09-05 07:12:52.793976
201,4,Traditional Wear,2026-08-04,770.7,803.2,1354442.53,71.0,1121.2,,2026-09-05 07:12:52.793976
202,6,Footwear,2026-07-24,383.7,332.4,576647.19,27.4,436.6,,2026-09-05 07:12:52.793976
203,11,Women's Wear,2026-07-22,1078.1,1099.0,1410375.41,87.4,1217.6,,2026-09-05 07:12:52.793976
204,10,Men's Wear,2026-07-31,693.0,705.8,901915.52,59.4,790.3,,2026-09-05 07:12:52.793976
205,12,Footwear,2026-08-10,478.0,456.9,582637.08,25.5,512.8,,2026-09-05 07:12:52.793976
206,11,Casual Wear,2026-08-06,1003.4,1031.7,1721038.36,74.3,1191.2,,2026-09-05 07:12:52.793976
207,7,Casual Wear,2026-08-27,1271.0,1376.9,1918842.95,103.9,1657.5,,2026-09-05 07:12:52.793976
208,15,Men's Wear,2026-08-02,703.3,717.1,1133759.66,48.4,815.7,,2026-09-05 07:12:52.793976
209,10,Casual Wear,2026-08-16,747.6,714.6,930923.98,50.9,979.4,,2026-09-05 07:12:52.793976
210,14,Casual Wear,2026-08-14,950.4,923.1,1152706.09,80.7,1228.9,,2026-09-05 07:12:52.793976
211,11,Women's Wear,2026-08-19,1070.1,1037.8,1635882.49,56.5,1439.4,,2026-09-05 07:12:52.793976
212,4,Accessories,2026-08-05,340.2,328.0,482857.49,24.4,376.4,,2026-09-05 07:12:52.793976
213,8,Kids Wear,2026-08-09,618.8,603.7,990381.84,50.1,840.7,,2026-09-05 07:12:52.793976
214,13,Men's Wear,2026-08-27,595.1,630.1,847511.42,29.1,778.1,,2026-09-05 07:12:52.793976
215,2,Traditional Wear,2026-08-26,916.6,895.9,1540217.39,43.0,1073.5,,2026-09-05 07:12:52.793976
216,12,Men's Wear,2026-07-30,733.8,719.1,1292640.96,45.5,980.7,,2026-09-05 07:12:52.793976
217,1,Traditional Wear,2026-08-04,1535.1,1576.9,2226168.16,67.1,1968.7,,2026-09-05 07:12:52.793976
218,14,Footwear,2026-07-10,563.6,560.3,675109.08,25.4,638.8,,2026-09-05 07:12:52.793976
219,12,Men's Wear,2026-08-19,896.4,858.6,1130598.63,58.1,963.4,,2026-09-05 07:12:52.793976
220,8,Accessories,2026-08-03,526.4,542.4,853707.74,38.3,617.6,,2026-09-05 07:12:52.793976
221,7,Men's Wear,2026-08-29,1038.3,1102.9,1455204.56,72.2,1378.7,,2026-09-05 07:12:52.793976
222,1,Women's Wear,2026-09-02,1244.4,1213.2,1833872.67,57.6,1659.6,,2026-09-05 07:12:52.793976
223,6,Casual Wear,2026-08-27,884.9,834.3,1298366.69,54.5,1045.3,,2026-09-05 07:12:52.793976
224,12,Casual Wear,2026-08-04,934.9,886.8,1260155.82,65.3,1236.2,,2026-09-05 07:12:52.793976
225,5,Accessories,2026-07-29,577.2,555.8,755509.09,40.5,773.5,,2026-09-05 07:12:52.793976
226,10,Women's Wear,2026-07-29,851.0,817.7,1064896.63,58.4,1051.5,,2026-09-05 07:12:52.793976
227,7,Women's Wear,2026-07-13,1177.0,1111.4,1460902.62,69.0,1362.2,,2026-09-05 07:12:52.793976
228,12,Women's Wear,2026-08-09,909.6,884.7,1550270.93,74.0,1168.5,,2026-09-05 07:12:52.793976
229,12,Women's Wear,2026-09-01,940.3,983.2,1402136.47,86.4,1217.1,,2026-09-05 07:12:52.793976
230,6,Casual Wear,2026-08-01,894.5,894.0,1459503.93,64.5,1169.3,,2026-09-05 07:12:52.793976
231,8,Women's Wear,2026-07-27,1487.3,1444.8,2585261.81,113.5,1894.8,,2026-09-05 07:12:52.793976
232,12,Kids Wear,2026-07-22,468.5,511.1,899648.56,40.8,604.1,,2026-09-05 07:12:52.793976
233,10,Footwear,2026-08-28,417.1,405.0,673854.63,19.2,450.6,,2026-09-05 07:12:52.793976
234,2,Men's Wear,2026-07-21,858.7,878.1,1447462.76,44.5,1184.0,,2026-09-05 07:12:52.793976
235,15,Casual Wear,2026-08-18,800.8,769.0,1034670.14,56.5,968.4,,2026-09-05 07:12:52.793976
236,4,Traditional Wear,2026-07-26,760.9,734.0,1088846.68,54.4,837.7,,2026-09-05 07:12:52.793976
237,15,Women's Wear,2026-07-31,694.8,717.7,947129.73,63.3,858.6,,2026-09-05 07:12:52.793976
238,1,Accessories,2026-07-25,373.2,397.6,614085.25,26.5,523.6,14.0,2026-09-05 07:12:52.793976
239,15,Women's Wear,2026-09-02,697.2,704.1,1198182.4,55.9,813.9,,2026-09-05 07:12:52.793976
240,14,Men's Wear,2026-07-19,1024.0,1157.3,1463267.45,103.2,1371.8,,2026-09-05 07:12:52.793976
241,9,Casual Wear,2026-07-25,1193.8,1225.6,1612505.79,55.9,1407.9,,2026-09-05 07:12:52.793976
242,11,Men's Wear,2026-08-06,935.6,992.4,1366549.24,73.2,1149.1,,2026-09-05 07:12:52.793976
